crop,port,price,currency,note
kukuruza,МТП Південний,242.0,$,б/н
kukuruza,МТП Південний,216.0,$,б/н
kukuruza,Одеський зерновий термінал (ОЗТ),226.0,$,б/н
kukuruza,Перевалочний комплекс Вадул - Алмейда Груп,201.0,$,б/н
kukuruza,Чорноморський МТП,238.0,$,б/н
kukuruza,Чорноморський МТП,224.0,$,б/н
podsolnechnik,Ізмаїльський МТП,470.0,$,б/н
podsolnechnik,Чорноморський МТП,511.0,$,б/н
pshenitsa-2-klass,Ізмаїльський МТП,172.0,$,б/н
pshenitsa-2-klass,Західний Контейнерний Термінал,135.0,$,б/н
pshenitsa-2-klass,МТП Південний,230.0,$,б/н
pshenitsa-2-klass,МТП Південний,228.0,$,б/н
pshenitsa-2-klass,МТП Південний,226.0,$,б/н
pshenitsa-2-klass,МТП Південний,211.0,$,б/н
pshenitsa-2-klass,Одеський МТП,224.0,$,б/н
pshenitsa-2-klass,Одеський МТП,211.0,$,б/н
pshenitsa-2-klass,Одеський зерновий термінал (ОЗТ),230.0,$,б/н
pshenitsa-2-klass,Одеський зерновий термінал (ОЗТ),189.0,$,б/н
pshenitsa-2-klass,ТИС зерновий термінал,230.0,$,б/н
pshenitsa-2-klass,Транс-сервис термінал,230.0,$,б/н
pshenitsa-2-klass,Чорноморський МТП,231.0,$,б/н
pshenitsa-2-klass,Чорноморський МТП,220.0,$,б/н
pshenitsa-2-klass,Чорноморський МТП,211.0,$,б/н
pshenitsa-2-klass,Чорноморський МТП,183.0,$,б/н
pshenitsa-2-klass,Чорноострівське ХПП,225.0,$,б/н
raps,Ізмаїльський МТП,444.0,$,б/н
raps,Західний Контейнерний Термінал,280.0,$,б/н
raps,Одеський МТП,525.0,$,б/н
raps,Одеський МТП,460.0,$,б/н
raps,Одеський зерновий термінал (ОЗТ),459.0,$,б/н
raps,Чорноморський МТП,535.0,$,б/н
raps,Чорноморський МТП,454.0,$,б/н
soya,Ізмаїльський МТП,392.0,$,б/н
soya,Ізмаїльський МТП,326.0,$,б/н
soya,МТП Південний,332.0,$,б/н
soya,Одеський МТП,387.0,$,б/н
soya,Одеський зерновий термінал (ОЗТ),324.0,$,б/н
soya,Перевалочний комплекс Чоп - Алмейда Груп,370.0,$,б/н
soya,Чорноморський МТП,327.0,$,б/н
yachmen,Ізмаїльський МТП,169.0,$,б/н
yachmen,МТП Південний,195.0,$,б/н
yachmen,МТП Південний,192.0,$,б/н
yachmen,МТП Південний,188.0,$,б/н
yachmen,Одеський МТП,168.0,$,б/н
yachmen,ТИС зерновий термінал,208.0,$,б/н
yachmen,ТИС зерновий термінал,173.0,$,б/н
yachmen,Трансбалктермінал (ТБТ),229.0,$,б/н
yachmen,Чорноморський МТП,212.0,$,б/н
yachmen,Чорноморський МТП,191.0,$,б/н
